Agency	value	key	Sector	Country	Province	Adm3	Latitude	Longitude	geo
Oxfam	2	1	Cash-unconditional 	Nepal	Gorkha		28.4763941	84.6897495	"28.4763942,84.6897495"
Oxfam	3	2	Cash-unconditional 	Nepal	Nuwakot		27.8866393	85.1479364	"27.8866392,85.147936"
Oxfam	4	3	Livelihoods	Nepal	Gorkha		28.4763941	84.6897495	"28.4763941,84.6897495"
Oxfam	5	4	Livelihoods	Nepal	Nuwakot		27.8866393	85.1479364	"27.8866393,85.1479364"
Age International	6	5	Emergency Shelter	Nepal	Nuwakot		28.137853	83.872482	"28.137852,83.872482"
Age International	7	6	Emergency Shelter	Nepal	Sindhupalchowk		27.951203	85.684578	"27.951202,85.684578"
Age International	8	7	NFI	Nepal	Nuwakot		28.137853	83.872482	"28.137854,83.872482"
Age International	9	8	NFI	Nepal	Sindhupalchowk		27.951203	85.684578	"27.951204,85.684578"
Age International	10	9	Health	Nepal	Kathmandu		27.717245	85.32396	"27.717245,85.32396"
Age International	11	10	Health	Nepal	Bhaktapur		27.671022	85.42982	"27.671022,85.42982"
Age International	12	11	Health	Nepal	Nuwakot		28.137853	83.872482	"28.137856,83.872482"
Age International	13	12	Health	Nepal	Sindhupalchowk		27.951203	85.684578	"27.951201,85.684578"
Age International	14	13	Health	Nepal	Kavrepalanchowk		27.525942	85.56121	"27.525941,85.56121"
Age International	15	14	Other	Nepal	Kathmandu		27.717245	85.32396	"27.717246,85.32396"
Age International	16	15	Other	Nepal	Bhaktapur		27.671022	85.42982	"27.671021,85.42982"
Age International	17	16	Other	Nepal	Nuwakot		28.137853	83.872482	"28.137853,83.872482"
Age International	18	17	Other	Nepal	Sindhupalchowk		27.951203	85.684578	"27.951200,85.684578"
Age International	19	18	Livelihoods	Nepal	Kathmandu		27.717245	85.32396	"27.717244,85.32396"
Age International	20	19	Livelihoods	Nepal	Bhaktapur		27.671022	85.42982	"27.671023,85.42982"
Age International	21	20	Livelihoods	Nepal	Nuwakot		28.137853	83.872482	"28.137851,83.872482"
Age International	22	21	Livelihoods	Nepal	Sindhupalchowk		27.951203	85.684578	"27.951203,85.684578"
